_id,Programme,University,Programme_Fee,Country,Address,Latitude,Longitude
478,Master of Arts in Theological Studies,University of Northwestern St. Paul,499,USA,"3003 Snelling Ave North, , Saint Paul",-93.1687212,45.0386809
479,Master of Divinity,University of Northwestern St. Paul,499,USA,"3003 Snelling Ave North, , Saint Paul",-93.1687212,45.0386809
480,Master of Science in Bioengineering,Temple University College of Engineering,1490,USA,"1947 N. 12TH STREET, , Philadelphia",-75.1527698,39.9823878
481,Master of Science in Civil Engineering,Temple University College of Engineering,1490,USA,"1947 N. 12TH STREET, , Philadelphia",-75.1527698,39.9823878
482,Master of Science in Electrical Engineering,Temple University College of Engineering,1490,USA,"1947 N. 12TH STREET, , Philadelphia",-75.1527698,39.9823878
483,Master of Science in Engineering Management,Temple University College of Engineering,1490,USA,"1947 N. 12TH STREET, , Philadelphia",-75.1527698,39.9823878
484,Master of Science in Environmental Engineering,Temple University College of Engineering,1490,USA,"1947 N. 12TH STREET, , Philadelphia",-75.1527698,39.9823878
485,Master of Science in Mechanical Engineering,Temple University College of Engineering,1490,USA,"1947 N. 12TH STREET, , Philadelphia",-75.1527698,39.9823878
486,Master of Arts,The Southern Baptist Theological Seminary,6116,USA,"2825 Lexington Road, KY 40280, Louisville",-85.6858714,38.2476449
487,Master of Divinity,The Southern Baptist Theological Seminary,6116,USA,"2825 Lexington Road, KY 40280, Louisville",-85.6858714,38.2476449
488,Master of Arts in International Relations and Diplomacy,Arcadia University Department of Historical and Political Studies,42893,USA,"Historical & Political Studies Easton Hall, Room 231 450 S. Easton Road, Glenside, PA 19038, , Glenside",-75.1527928,40.0999077
489,M.S. in Data Science,University of North Dakota College of Engineering and Mines,13788,USA,"College of Engineering & Mines, Upson II Room 165, 243 Centennial Dr Stop 8155, ND 58202-8155, Grand Forks",-97.0709239,47.9217324
490,M.S. or M.Eng. in Systems Engineering,University of North Dakota College of Engineering and Mines,13833,USA,"College of Engineering & Mines, Upson II Room 165, 243 Centennial Dr Stop 8155, ND 58202-8155, Grand Forks",-97.0709239,47.9217324
491,MA in Integral Economic Development Management,The Catholic University of America,50520,USA,"The Catholic University of America, 620 Michigan Ave., N.E., DC 20064, Washington",-76.998692,38.9368811
492,MA in Integral Economic Development Policy,The Catholic University of America,88800,USA,"The Catholic University of America, 620 Michigan Ave., N.E., DC 20064, Washington",-76.998692,38.9368811
493,Master of Science in Information Security Engineering,SANS Technology Institute,49500,USA,"11200 Rockville Pike, Suite 200, , Bethesda",-77.123177,39.059577
494,Teaching English to Speakers of Other Languages (Master of Arts),Slippery Rock University,/,USA,"1 Morrow Way Slippery Rock, , 16057, Slippery Rock",-80.0411842,41.0630697
495,Master of Arts in Teaching ??? TESOL,USC Rossier School of Education,/,USA,", , USA Online",-95.712891,37.09024
496,Master of Arts in Teaching (MAT),USC Rossier School of Education,/,USA,", , USA Online",-95.712891,37.09024
497,Executive Master in Public Administration,Arizona State University,1400,USA,"411 N Central Ave, Ste 750, 85281, Central City",-112.0734512,33.452957
498,MA in Criminal Justice,Arizona State University,1400,USA,"411 N Central Ave, Ste 750, 85281, Central City",-112.0734512,33.452957
499,MA in Emergency Management and Homeland Security,Arizona State University,1400,USA,"411 N Central Ave, Ste 750, 85281, Central City",-112.0734512,33.452957
500,Master in Nonprofit Leadership and Management,Arizona State University,1400,USA,"411 N Central Ave, Ste 750, 85281, Central City",-112.0734512,33.452957
501,Master in Program Evaluation and Data Analytics,Arizona State University,1400,USA,"411 N Central Ave, Ste 750, 85281, Central City",-112.0734512,33.452957
502,Master in Public Policy,Arizona State University,1400,USA,"411 N Central Ave, Ste 750, 85281, Central City",-112.0734512,33.452957
503,Master in Social Work - Advanced Standing - Advanced Generalist,Arizona State University,1400,USA,"4701 W Thunderbird Rd, Glendale, AZ 85306, United States, 85123, Arizona City",-112.1594168,33.6075305
504,Master in Social Work - Standard Program,Arizona State University,1400,USA,"411 N Central Ave, Ste 750, 85281, Central City",-112.0734512,33.452957
505,Master in Sustainable Tourism,Arizona State University,1400,USA,"411 N Central Ave, Ste 750, 85281, Central City",-112.0734512,33.452957
506,Master of Public Administration - Downtown Phoenix,Arizona State University,1400,USA,"411 N Central Ave, Ste 750, 85281, Central City",-112.0734512,33.452957
507,Master of Public Safety Leadership and Administration,Arizona State University,1400,USA,"411 N Central Ave, Ste 750, 85281, Central City",-112.0734512,33.452957
508,MS in Community Resources and Development,Arizona State University,1400,USA,"411 N Central Ave, Ste 750, 85281, Central City",-112.0734512,33.452957
509,MS in Criminology and Criminal Justice,Arizona State University,1400,USA,"411 N Central Ave, Ste 750, 85281, Central City",-112.0734512,33.452957
510,Master of Business and Science - Engineering Management Concentration,Rutgers University Professional Science Master's Program,1015,USA,"Professional Science Master's Program Rutgers, The State University of New Jersey 118 Frelinghuysen Rd., SERC Building, Rm. 221 Piscataway, NJ 08854, 08854, Piscataway Township",-74.4626834,40.5227386
511,Master of Business and Science (MBS),Rutgers University Professional Science Master's Program,1015,USA,"Professional Science Master's Program Rutgers, The State University of New Jersey 118 Frelinghuysen Rd., SERC Building, Rm. 221 Piscataway, NJ 08854, 08854, Piscataway Township",-74.4626834,40.5227386
512,Master of Arts in Criminal Justice,University of South Florida Sarasota???Manatee,348,USA,"8350 N. Tamiami Trail , FL 34243, Sarasota",-82.56236698,27.39181242
513,Master of Arts in Education: Online Teaching and Learning,University of South Florida Sarasota???Manatee,348,USA,"8350 N. Tamiami Trail , FL 34243, Sarasota",-82.56236698,27.39181242
514,Master of Arts in Elementary Education,University of South Florida Sarasota???Manatee,348,USA,"8350 N. Tamiami Trail , FL 34243, Sarasota",-82.56236698,27.39181242
515,Master of Education in Educational Leadership,University of South Florida Sarasota???Manatee,348,USA,"8350 N. Tamiami Trail , FL 34243, Sarasota",-82.56236698,27.39181242
516,Master of Science in Hospitality Management,University of South Florida Sarasota???Manatee,381,USA,"8350 N. Tamiami Trail , FL 34243, Sarasota",-82.56236698,27.39181242
517,MSL: Financial Compliance and Risk Management,Thomas Jefferson School of Law,1620,USA,"Thomas Jefferson School of Law, 701 B Street, Suite 110, CA 92101, San Diego",-117.1579148,32.7175528
518,MSL: Financial Services and Wealth Management,Thomas Jefferson School of Law,1620,USA,"Thomas Jefferson School of Law, 701 B Street, Suite 110, CA 92101, San Diego",-117.1579148,32.7175528
519,MSL: Taxation,Thomas Jefferson School of Law,1620,USA,"Thomas Jefferson School of Law, 701 B Street, Suite 110, CA 92101, San Diego",-117.1579148,32.7175528
520,Master of Science in Management-Finance,"Case Western Reserve University, Weatherhead School of Management",/,USA,"10900 Euclid Avenue, 44106-7235, Cleveland",-81.6097351,41.5046068
521,Master of Science in Management-Operations Research and Supply Chain Management,"Case Western Reserve University, Weatherhead School of Management",/,USA,"10900 Euclid Avenue, 44106-7235, Cleveland",-81.6097351,41.5046068
522,Master of Science in Positive Organization Development and Change,"Case Western Reserve University, Weatherhead School of Management",/,USA,"10900 Euclid Avenue, 44106-7235, Cleveland",-81.6097351,41.5046068
523,Master of Science in Management - Business Analytics,"Case Western Reserve University, Weatherhead School of Management",/,USA,"10900 Euclid Avenue, 44106-7235, Cleveland",-81.6097351,41.5046068
524,Master of Energy Economics,Rice University,58000,USA,"6100 Main St., TX 77005-1827, Houston",-95.3964068,29.7205057
525,Master of Global Affairs,Rice University,37000,USA,"6100 Main St., TX 77005-1827, Houston",-95.3964068,29.7205057
526,Master of Agricultural and Applied Economics (MAAE),"University of Illinois at Urbana-Champaign - College of Agricultural, Consumer and Environmental Sciences",15232,USA,"4Q2F+Q4 Champaign, Illinois, Estados Unidos, , Champaign",-88.2433829,40.1164204
527,Master's Degree in Crop Sciences,"University of Illinois at Urbana-Champaign - College of Agricultural, Consumer and Environmental Sciences",712,USA,"4Q2F+Q4 Champaign, Illinois, Estados Unidos, , Champaign",-88.2433829,40.1164204
528,MSc in Food Science and Human Nutrition,"University of Illinois at Urbana-Champaign - College of Agricultural, Consumer and Environmental Sciences",712,USA,"4Q2F+Q4 Champaign, Illinois, Estados Unidos, , Champaign",-88.2433829,40.1164204
529,MSc in Natural Resources and Environmental Sciences,"University of Illinois at Urbana-Champaign - College of Agricultural, Consumer and Environmental Sciences",712,USA,"4Q2F+Q4 Champaign, Illinois, Estados Unidos, , Champaign",-88.2433829,40.1164204
530,M.S. in Aviation Management And Logistics,Kent State University - College of Aeronautics and Engineering,/,USA,"Aeronautics and Technology Building (ATB), 1400 Lefton Esplanade, 44242, Kent",-81.3412371,41.1442832
531,MTECH Master of Technology,Kent State University - College of Aeronautics and Engineering,11536,USA,"Aeronautics and Technology Building (ATB), 1400 Lefton Esplanade, 44242, Kent",-81.3412371,41.1442832
532,Master in Public Administration,Hawaii Pacific University,850,USA,"1 Aloha Tower Drive Honolulu, HI, 96813, Honolulu",-157.8583333,21.3069444
533,Master of Arts in Global Leadership and Sustainable Development,Hawaii Pacific University,1125,USA,"1 Aloha Tower Drive Honolulu, HI, 96813, Honolulu",-157.8583333,21.3069444
534,Master of Social Work,Hawaii Pacific University,1125,USA,"1 Aloha Tower Drive Honolulu, HI, 96813, Honolulu",-157.8583333,21.3069444
535,MS in Business Analytics and Information Security,Hawaii Pacific University,1200,USA,"1 Aloha Tower Drive Honolulu, HI, 96813, Honolulu",-157.8583333,21.3069444
536,MS in Criminal Justice,Hawaii Pacific University,850,USA,"1 Aloha Tower Drive Honolulu, HI, 96813, Honolulu",-157.8583333,21.3069444
537,MS in Aviation and Aerospace Management Online,Purdue Online - Polytechnic Institute,775,USA,"Purdue University - Purdue Polytechnic Institute, 401 N Grant Street, West Lafayette, IN 47907, , West Lafayette",-86.9111788,40.4277082
538,MS in Construction Management Online,Purdue Online - Polytechnic Institute,906,USA,"Purdue University - Purdue Polytechnic Institute, 401 N Grant Street, West Lafayette, IN 47907, , West Lafayette",-86.9111788,40.4277082
539,MS in IT Business Analysis Online,Purdue Online - Polytechnic Institute,775,USA,"Purdue University - Purdue Polytechnic Institute, 401 N Grant Street, West Lafayette, IN 47907, , West Lafayette",-86.9111788,40.4277082
540,MS in IT Project Management Online,Purdue Online - Polytechnic Institute,775,USA,"Purdue University - Purdue Polytechnic Institute, 401 N Grant Street, West Lafayette, IN 47907, , West Lafayette",-86.9111788,40.4277082
541,MA in Economics,San Diego State University,9154,USA,"5250 Campanile Drive, , San Diego",-117.0723289,32.7722501
542,Master of Engineering,San Diego State University,9154,USA,"5250 Campanile Drive, , San Diego",-117.0723289,32.7722501
543,MSc in Big Data Analytics,San Diego State University,9154,USA,"5250 Campanile Drive, , San Diego",-117.0723289,32.7722501
544,MSc in Computer Science,San Diego State University,9154,USA,"5250 Campanile Drive, , San Diego",-117.0723289,32.7722501
545,MSc in Electrical Engineering,San Diego State University,9154,USA,"5250 Campanile Drive, , San Diego",-117.0723289,32.7722501
546,MS in Regulatory Science,University of Southern California School of Pharmacy,38560,USA,"University of Southern California 1985 Zonal Avenue, , Los Angeles",-118.2060145,34.06025298
547,Master Of Science In Education Law,"Nova Southeastern University, Shepard Broad College of Law",711,USA,"3305 College Ave, Davie, FL, United States, 33314, Fort Lauderdale",-80.2411058,26.0799444
548,Master of Science In Employment Law,"Nova Southeastern University, Shepard Broad College of Law",711,USA,"3305 College Ave, Davie, FL, United States, 33314, Fort Lauderdale",-80.2411058,26.0799444
549,Master of Science In Health Law,"Nova Southeastern University, Shepard Broad College of Law",711,USA,"3305 College Ave, Davie, FL, United States, 33314, Fort Lauderdale",-80.2411058,26.0799444
550,Master of Science In Law & Policy,"Nova Southeastern University, Shepard Broad College of Law",711,USA,"3305 College Ave, Davie, FL, United States, 33314, Fort Lauderdale",-80.2411058,26.0799444
551,MSc in Cultural Foundations of Education,Syracuse University - School of Education,/,USA,"230 Huntington Hall, , Syracuse",-76.1353725,43.0413383
552,MSc in Educational Leadership,Syracuse University - School of Education,/,USA,"230 Huntington Hall, , Syracuse",-76.1353725,43.0413383
553,"MSc in Instructional Design, Development and Evaluation",Syracuse University - School of Education,/,USA,"230 Huntington Hall, , Syracuse",-76.1353725,43.0413383
554,MSc in Teaching and Curriculum,Syracuse University - School of Education,/,USA,"230 Huntington Hall, , Syracuse",-76.1353725,43.0413383
555,Master of Science in Artificial Intelligence,University of North Texas College of Engineering,10300,USA,"1155 Union Circle, 310440, Denton",-97.1472613,33.2106588
556,Master of Science in Computer Engineering,University of North Texas College of Engineering,17140,USA,"1155 Union Circle, 310440, Denton",-97.1472613,33.2106588
557,Master of Science in Computer Science,University of North Texas College of Engineering,17410,USA,"1155 Union Circle, 310440, Denton",-97.1472613,33.2106588
558,Master of Science in Electrical Engineering,University of North Texas College of Engineering,17410,USA,"1155 Union Circle, 310440, Denton",-97.1472613,33.2106588
559,Master of Science in Engineering Technology,University of North Texas College of Engineering,17410,USA,"1155 Union Circle, 310440, Denton",-97.1472613,33.2106588
